ID,Landform,PV_mean,PV_stdev,PV_min,PV_max,NPV_mean,NPV_stdev,NPV_min,NPV_max,Bare_mean,Bare_stdev,Bare_min,Bare_max
120,2,31.1135,11.8214,9.0000,64.0000,33.0638,6.9161,14.0000,54.0000,34.2624,13.4574,5.0000,66.0000
121,2,3.0079,2.9763,0.0000,19.0000,14.2677,7.8854,1.0000,43.0000,81.4961,8.5563,51.0000,99.0000
122,2,1.6714,2.1025,0.0000,10.0000,50.3929,6.6801,34.0000,66.0000,46.5714,6.5978,33.0000,61.0000
123,2,10.8682,9.5895,0.0000,40.0000,38.5814,11.6697,9.0000,62.0000,49.1085,16.3760,16.0000,85.0000
124,2,11.2270,14.6754,0.0000,66.0000,53.1135,14.0864,23.0000,86.0000,34.3972,15.9306,5.0000,71.0000
125,2,27.7163,13.6326,3.0000,60.0000,43.9504,9.3682,24.0000,74.0000,26.8227,10.7738,8.0000,60.0000
126,2,1.9926,4.1500,0.0000,31.0000,29.5111,9.3126,10.0000,54.0000,67.4074,10.7911,32.0000,89.0000
127,2,14.6454,7.0742,4.0000,39.0000,28.9149,8.9518,11.0000,46.0000,54.9716,13.4343,24.0000,80.0000
128,2,15.9104,10.3855,1.0000,45.0000,40.2537,9.3846,17.0000,66.0000,42.4030,13.2051,16.0000,70.0000
129,2,4.6312,4.2550,0.0000,22.0000,25.6525,8.2848,7.0000,48.0000,68.2908,9.8719,34.0000,87.0000
130,2,15.2411,10.2845,1.0000,41.0000,26.9645,10.2129,5.0000,54.0000,56.3404,17.7895,26.0000,87.0000
131,2,4.8992,4.3328,0.0000,22.0000,37.5969,9.2406,14.0000,56.0000,56.0775,8.8769,27.0000,76.0000
132,2,5.7576,4.2268,0.0000,23.0000,22.7576,7.3764,4.0000,40.0000,70.0909,8.2631,51.0000,91.0000
133,2,3.2128,3.0800,0.0000,21.0000,19.7092,8.4891,2.0000,38.0000,75.7730,8.5323,54.0000,96.0000
134,2,4.3780,3.2359,0.0000,17.0000,15.9134,7.1453,1.0000,34.0000,78.3701,7.8387,57.0000,96.0000
135,2,17.4892,7.6123,6.0000,44.0000,32.5252,7.6894,14.0000,49.0000,48.5396,11.2591,17.0000,76.0000
136,2,2.0780,3.2640,0.0000,20.0000,32.9858,5.8734,21.0000,49.0000,63.6099,7.0658,39.0000,78.0000
137,2,7.0071,4.1659,0.0000,22.0000,27.3546,7.9396,10.0000,50.0000,64.2482,8.7989,42.0000,84.0000
138,2,20.9362,8.8078,8.0000,53.0000,33.9574,7.8531,17.0000,52.0000,43.6312,12.2187,15.0000,71.0000
139,2,3.9645,5.2341,0.0000,29.0000,38.4894,7.9579,20.0000,58.0000,56.4113,10.3794,29.0000,79.0000
140,2,12.2624,14.9579,0.0000,66.0000,43.4326,13.1889,20.0000,81.0000,42.8652,17.1034,7.0000,76.0000
141,2,14.4681,15.6017,0.0000,66.0000,44.3121,12.4240,19.0000,75.0000,39.8511,18.1998,0.0000,77.0000
142,2,5.0455,3.8452,0.0000,16.0000,19.9242,7.5595,1.0000,39.0000,73.7348,8.4278,54.0000,92.0000
143,2,7.4962,6.0864,0.0000,35.0000,35.9466,9.7027,15.0000,59.0000,54.9389,12.2710,19.0000,76.0000
144,2,12.8657,11.9263,0.0000,59.0000,46.4701,14.5693,12.0000,85.0000,39.2239,15.9802,12.0000,79.0000
145,2,0.6857,1.6565,0.0000,9.0000,28.2000,6.5293,14.0000,45.0000,70.0429,7.0111,51.0000,85.0000
146,2,0.6385,1.4033,0.0000,8.0000,32.6077,9.2283,12.0000,56.0000,65.6923,9.5506,40.0000,88.0000
147,2,14.7660,15.6919,0.0000,64.0000,47.6525,16.6231,8.0000,86.0000,36.2837,19.9806,2.0000,84.0000
148,2,15.9535,9.4736,3.0000,48.0000,35.4729,9.0082,15.0000,55.0000,47.1085,13.3888,19.0000,74.0000
149,2,7.9712,8.0026,0.0000,33.0000,23.5180,12.6635,0.0000,55.0000,67.2014,16.9129,27.0000,96.0000
